NCBI Accession,type,proportion,number of bp
NC_027397.1,virus,0.00029877,5975.395431
NC_027398.1,virus,0.000720562,14411.2478
NC_027399.1,virus,0.018127778,362555.567
NC_027400.1,virus,4.45E-05,889.0726765
NC_027401.1,virus,0.000130259,2605.189703
NC_027402.1,virus,0.003666908,73338.15776
NC_027404.1,virus,0.003356249,67124.98708
NC_027620.1,virus,6.72E-05,1343.947069
NC_027621.1,virus,5.89E-05,1178.538199
NC_027622.1,virus,4.96E-05,992.4532203
NC_027623.1,virus,2.79E-05,558.2549364
NC_027624.1,virus,6.93E-05,1385.299287
NC_027625.1,virus,0.000145767,2915.331335
NC_027626.1,virus,3.83E-05,765.016024
NC_027627.1,virus,7.86E-05,1571.384265
NC_027628.1,virus,5.48E-05,1095.833764
NC_027629.1,virus,6.93E-05,1385.299287
NC_027630.1,virus,0.000152486,3049.726042
NC_027633.1,virus,0.000175747,3514.938489
NC_027634.1,virus,6.62E-05,1323.27096
NC_027635.1,virus,0.000457976,9159.516179
NC_027636.1,virus,3.10E-06,62.02832627
NC_027637.1,virus,0.000180916,3618.319032
NC_027638.1,virus,7.55E-05,1509.355939
NC_027639.1,virus,5.48E-05,1095.833764
NC_027640.1,virus,6.62E-05,1323.27096
NC_027641.1,virus,0.000109583,2191.667528
NC_027642.1,virus,6.82E-05,1364.623178
NC_027643.1,virus,1.65E-05,330.8177401
NC_027644.1,virus,3.31E-05,661.6354802
NC_027645.1,virus,2.07E-05,413.5221751
NC_027646.1,virus,4.03E-05,806.3682415
NC_027647.1,virus,0.000109583,2191.667528
NC_027648.1,virus,4.14E-06,82.70443503
NC_027979.1,virus,0.001759537,35190.7371
NC_027982.1,virus,0.000407319,8146.38685
NC_027983.1,virus,0.001684586,33691.71922
NC_027984.1,virus,0.000327716,6554.326476
NC_027985.1,virus,3.10E-05,620.2832627
NC_027986.1,virus,0.000545849,10916.98542
NC_027987.1,virus,0.001101003,22020.05583
NC_027988.2,virus,0.001431821,28636.41063
NC_027990.1,virus,0.000472449,9448.981702
NC_027991.1,virus,0.000574279,11485.57841
NC_027992.1,virus,0.000226403,4528.067818
NC_027993.1,virus,0.00041559,8311.79572
NC_027994.1,virus,0.000539646,10792.92877
NC_027995.1,virus,0.000461077,9221.544505
NC_028247.1,virus,0.001883594,37671.87015
NC_028248.1,virus,0.002122403,42448.05128
NC_028448.1,virus,0.001361005,27220.09718
NC_028449.1,virus,0.000282229,5644.57769
NC_028651.1,virus,0.001652021,33040.42179
NC_028652.1,virus,0.000435232,8704.641786
NC_028653.1,virus,0.000431097,8621.937351
NC_028654.1,virus,8.79E-05,1757.469244
NC_028655.1,virus,0.001360488,27209.75912
NC_028656.1,virus,0.000255867,5117.336917
NC_028657.1,virus,0.000448672,8973.4312
NC_028658.1,virus,4.65E-05,930.424894
NC_028659.1,virus,0.004747235,94944.69141
NC_028660.1,virus,0.000278094,5561.873255
NC_028661.1,virus,0.000247079,4941.589993
NC_028662.1,virus,0.000498294,9965.884421
NC_028663.1,virus,0.002997002,59940.03928
NC_028664.1,virus,0.000287398,5747.958234
NC_028665.1,virus,0.000312209,6244.184844
NC_028666.1,virus,0.000816706,16334.12592
NC_028667.1,virus,0.000208829,4176.573969
NC_028668.1,virus,0.000604776,12095.52362
NC_028669.1,virus,0.000591337,11826.73421
NC_028670.1,virus,0.000174713,3494.26238
NC_028671.2,virus,0.001823116,36462.31779
NC_028672.1,virus,0.002351907,47038.14742
NC_028673.1,virus,0.000269823,5396.464385
NC_028674.1,virus,4.55E-05,909.7487853
NC_028675.1,virus,0.000883904,17678.07299
NC_028676.1,virus,0.00161377,32275.40577
NC_028677.1,virus,0.001179572,23591.44009
NC_028678.1,virus,0.000158172,3163.44464
NC_028679.1,virus,0.000198491,3969.812881
NC_028680.1,virus,6.62E-05,1323.27096
NC_028681.1,virus,1.76E-05,351.4938489
NC_028682.1,virus,2.79E-05,558.2549364
NC_028683.1,virus,0.007170475,143409.4903
NC_028684.1,virus,0.000171612,3432.234054
NC_028685.1,virus,0.000269306,5386.126331
NC_028686.1,virus,0.002490437,49808.74599
NC_028687.1,virus,0.000228471,4569.420035
NC_028688.1,virus,0.000251215,5024.294428
NC_028689.1,virus,3.62E-05,723.6638065
NC_028690.1,virus,3.41E-05,682.311589
NC_028691.1,virus,0.000141631,2832.6269
NC_028692.1,virus,0.000147834,2956.683552
NC_028693.1,virus,0.001673731,33474.62008
NC_028694.1,virus,3.67E-05,734.0018608
NC_028695.2,virus,0.000579965,11599.29701
NC_028696.2,virus,0.000356663,7133.257521
NC_028697.1,virus,0.000735036,14700.71333
NC_028698.1,virus,0.000354595,7091.905303
NC_028699.1,virus,0.000439367,8787.346221
NC_028700.1,virus,0.000727799,14555.98056
NC_028701.2,virus,0.000153003,3060.064096
NC_028702.1,virus,0.000234674,4693.476688
NC_028742.1,virus,0.000265688,5313.75995
NC_028743.1,virus,0.000727799,14555.98056
NC_028744.1,virus,0.000227437,4548.743926
NC_028745.1,virus,0.000586168,11723.35366
NC_028746.1,virus,0.000727799,14555.98056
NC_028747.1,virus,0.000143699,2873.979117
NC_028748.2,virus,0.001161997,23239.94624
NC_028749.1,virus,0.003286467,65729.34974
NC_028750.1,virus,0.004994314,99886.2814
NC_028751.1,virus,0.000124057,2481.133051
NC_028754.1,virus,0.000991419,19828.3883
NC_028755.1,virus,0.003165512,63310.24501
NC_028757.1,virus,0.000276026,5520.521038
NC_028758.1,virus,0.000478652,9573.038354
NC_028759.1,virus,0.000414556,8291.119611
NC_028760.1,virus,0.000282229,5644.57769
NC_028762.1,virus,0.007995451,159909.0251
NC_028763.1,virus,0.00215962,43192.39119
NC_028765.1,virus,0.005585651,111713.0156
NC_028766.1,virus,0.00061408,12281.6086
NC_028767.1,virus,0.000688514,13770.28843
NC_028768.1,virus,0.000454874,9097.487853
NC_028770.1,virus,0.000418691,8373.824046
NC_028772.1,virus,0.000333919,6678.383128
NC_028773.1,virus,0.00493332,98666.39099
NC_028774.1,virus,0.000316344,6326.889279
NC_028775.1,virus,0.00228471,45694.20035
NC_028776.1,virus,0.000426962,8539.232916
NC_028777.1,virus,0.002681691,53633.82611
NC_028778.1,virus,0.000815156,16303.11175
NC_028779.1,virus,0.000196423,3928.460664
NC_028780.1,virus,0.001402874,28057.47958
NC_028782.1,virus,0.000937662,18753.23064
NC_028783.1,virus,0.000613047,12260.93249
NC_028784.1,virus,0.000291533,5830.662669
NC_028785.1,virus,0.00016851,3370.205727
NC_028786.1,virus,0.000369069,7381.370826
NC_028787.1,virus,0.001861884,37237.67187
NC_028788.1,virus,0.000142665,2853.303008
NC_028789.1,virus,0.001115476,22309.52135
NC_028791.1,virus,0.00032048,6409.593714
NC_028792.1,virus,0.00016024,3204.796857
NC_028794.1,virus,0.000127158,2543.161377
NC_028795.1,virus,0.000151969,3039.387987
NC_028796.1,virus,0.0003639,7277.990282
NC_028798.1,virus,0.000182984,3659.67125
NC_028799.1,virus,0.002798511,55970.2264
NC_028800.1,virus,0.000333919,6678.383128
NC_028801.1,virus,2.07E-05,413.5221751
NC_028802.1,virus,0.000260519,5210.379407
NC_028803.1,virus,4.55E-05,909.7487853
NC_028804.1,virus,7.44E-05,1488.67983
NC_028805.1,virus,0.002024191,40483.82094
NC_028807.1,virus,0.000165409,3308.177401
NC_028808.2,virus,0.001232296,24645.92164
NC_028809.1,virus,0.00054068,10813.60488
NC_028810.1,virus,4.96E-05,992.4532203
NC_028812.1,virus,0.000472449,9448.981702
NC_028813.1,virus,0.00019022,3804.404011
NC_028815.1,virus,6.10E-05,1219.890417
NC_028816.1,virus,5.58E-05,1116.509873
NC_028817.1,virus,0.000338054,6761.087563
NC_028818.1,virus,0.000332885,6657.70702
NC_028819.1,virus,0.000735036,14700.71333
NC_028820.1,virus,0.004653158,93063.16551
NC_028821.1,virus,0.00270857,54171.40494
NC_028822.1,virus,0.000899411,17988.21462
NC_028823.1,virus,0.000115786,2315.724181
NC_028825.1,virus,0.000743823,14876.46025
NC_028826.1,virus,0.001471105,29422.10276
NC_028827.1,virus,0.000371136,7422.723044
NC_028828.1,virus,3.10E-05,620.2832627
NC_028829.1,virus,0.005303422,106068.4379
NC_028830.1,virus,0.000465212,9304.24894
NC_028831.1,virus,0.000598573,11971.46697
NC_028832.1,virus,0.000416624,8332.471829
NC_028834.1,virus,0.000466246,9324.925049
NC_028835.1,virus,0.000314277,6285.537062
NC_028836.1,virus,0.000140598,2811.950791
NC_028837.1,virus,0.000413522,8270.443503
NC_028840.1,virus,0.003421896,68437.91998
NC_028841.1,virus,0.001497984,29959.68159
NC_028842.1,virus,8.06E-05,1612.736483
NC_028843.1,virus,0.000407319,8146.38685
NC_028844.1,virus,0.000454357,9087.149798
NC_028846.1,virus,0.000209863,4197.250078
NC_028847.1,virus,0.004070092,81401.84017
NC_028848.1,virus,0.00046728,9345.601158
NC_028849.1,virus,0.000261553,5231.055515
NC_028850.1,virus,0.000377339,7546.779696
NC_028851.1,virus,0.000286364,5727.282126
NC_028852.1,virus,0.000151969,3039.387987
NC_028853.1,virus,0.000647162,12943.24408
NC_028854.1,virus,0.001122713,22454.25411
NC_028855.1,virus,0.000608911,12178.22806
NC_028856.1,virus,0.003872635,77452.7034
NC_028857.1,virus,0.003577484,71549.67435
NC_028859.1,virus,0.000729867,14597.33278
NC_028860.1,virus,0.000252249,5044.970537
NC_028861.1,virus,0.00039388,7877.597436
NC_028862.1,virus,0.001937351,38747.02781
NC_028863.1,virus,0.000128192,2563.837486
NC_028864.1,virus,0.000291533,5830.662669
NC_028865.1,virus,0.000579965,11599.29701
NC_028869.1,virus,0.000746408,14928.15052
NC_028870.1,virus,0.000264654,5293.083842
NC_028871.1,virus,0.001697509,33950.17058
NC_028872.1,virus,0.000373204,7464.075261
NC_028874.1,virus,8.79E-05,1757.469244
NC_028876.2,virus,0.00035873,7174.609738
NC_028877.1,virus,0.000242944,4858.885558
NC_028878.1,virus,0.000404218,8084.358524
NC_028879.1,virus,0.000459527,9190.530342
NC_028880.1,virus,0.000239843,4796.857231
NC_028881.1,virus,0.002753024,55060.47762
NC_028882.1,virus,0.000834281,16685.61977
NC_028885.1,virus,0.00020366,4073.193425
NC_028886.1,virus,0.002338468,46769.35801
NC_028887.1,virus,0.003081774,61635.4802
NC_028888.1,virus,0.000248113,4962.266102
NC_028889.1,virus,0.000209863,4197.250078
NC_028890.1,virus,0.003514938,70298.76977
NC_028892.1,virus,0.000281195,5623.901582
NC_028894.1,virus,0.002238189,44763.77546
NC_028895.1,virus,0.001606534,32130.67301
NC_028896.1,virus,0.000151969,3039.387987
NC_028897.1,virus,0.000264654,5293.083842
NC_028898.1,virus,0.00067921,13584.20345
NC_028899.1,virus,0.003951204,79024.08767
NC_028900.1,virus,0.001257107,25142.14825
NC_028901.1,virus,0.000249147,4982.94221
NC_028902.1,virus,4.65E-05,930.424894
NC_028903.1,virus,0.001661325,33226.50677
NC_028904.1,virus,0.000272925,5458.492712
NC_028906.1,virus,0.000249147,4982.94221
NC_028907.1,virus,4.03E-05,806.3682415
NC_028908.2,virus,0.001077225,21544.50532
NC_028910.1,virus,0.000102347,2046.934767
NC_028911.1,virus,0.000379407,7588.131914
NC_028912.1,virus,0.000273958,5479.16882
NC_028913.1,virus,0.001069989,21399.77256
NC_028914.1,virus,0.000311175,6223.508736
NC_028915.1,virus,0.000768117,15362.34881
NC_028916.1,virus,0.000424894,8497.880699
NC_028917.1,virus,0.001676832,33536.6484
NC_028919.1,virus,0.000508632,10172.64551
NC_028920.1,virus,0.000112685,2253.695854
NC_028922.1,virus,0.000205727,4114.545643
NC_028923.1,virus,0.000284296,5685.929908
NC_028924.1,virus,0.002998036,59960.71539
NC_028925.1,virus,0.002741652,54833.04042
NC_028926.1,virus,0.000945932,18918.63951
NC_028927.1,virus,0.00162721,32544.19518
NC_028928.1,virus,5.38E-05,1075.157655
NC_028929.1,virus,0.00071436,14287.19115
NC_028930.1,virus,0.00054068,10813.60488
NC_028931.1,virus,0.000205727,4114.545643
NC_028932.1,virus,0.000317378,6347.565388
NC_028933.1,virus,0.000329784,6595.678693
NC_028934.1,virus,0.000541714,10834.28099
NC_028935.2,virus,0.000940763,18815.25897
NC_028936.1,virus,0.000545849,10916.98542
NC_028937.1,virus,8.99E-05,1798.821462
NC_028938.1,virus,0.00062752,12550.39802
NC_028939.1,virus,0.000331852,6637.030911
NC_028940.1,virus,0.006966815,139336.2969
NC_028941.1,virus,5.69E-05,1137.185982
NC_028942.1,virus,7.75E-05,1550.708157
NC_028943.1,virus,0.000334953,6699.059237
NC_028944.1,virus,0.001012096,20241.91047
NC_028945.1,virus,0.002944278,58885.55774
NC_028946.1,virus,9.82E-05,1964.230332
NC_028947.1,virus,0.000424894,8497.880699
NC_028950.1,virus,0.002926703,58534.06389
NC_028952.1,virus,0.000271891,5437.816603
NC_028953.1,virus,0.000293601,5872.014887
NC_028954.1,virus,0.000163341,3266.825184
NC_028955.1,virus,0.00910886,182177.1943
NC_028956.1,virus,0.001143389,22867.77628
NC_028957.1,virus,0.003251318,65026.36204
NC_028960.2,virus,0.000220201,4404.011165
NC_028961.1,virus,0.000111651,2233.019746
NC_028962.1,virus,0.009772563,195451.2561
NC_028965.1,virus,0.00016851,3370.205727
NC_028966.1,virus,0.000675075,13501.49902
NC_028967.1,virus,8.79E-05,1757.469244
NC_028968.1,virus,0.000652331,13046.62463
NC_028969.1,virus,0.000555154,11103.0704
NC_028971.1,virus,0.000310142,6202.832627
NC_028972.1,virus,0.000481753,9635.06668
NC_028974.1,virus,0.000196423,3928.460664
NC_028976.1,virus,0.000153003,3060.064096
NC_028977.1,virus,0.000482787,9655.742789
NC_028978.1,virus,0.000180916,3618.319032
NC_028979.1,virus,0.000257418,5148.35108
NC_028980.1,virus,0.000475551,9511.010028
NC_028982.1,virus,0.002601054,52021.08963
NC_028983.1,virus,0.002624832,52496.64013
NC_028984.1,virus,0.000570661,11413.21203
NC_028986.1,virus,0.00071436,14287.19115
NC_028987.2,virus,0.001132017,22640.33909
NC_028988.1,virus,0.000259485,5189.703298
NC_028990.1,virus,0.000799132,15982.63207
NC_028991.1,virus,0.003946035,78920.70712
NC_028992.1,virus,0.000618216,12364.31304
NC_028993.1,virus,0.000156105,3122.092422
NC_028994.1,virus,7.65E-05,1530.032048
NC_028995.1,virus,0.000868397,17367.93136
NC_028997.1,virus,0.000601675,12033.4953
NC_028998.1,virus,0.001030704,20614.08043
NC_028999.1,virus,0.004068024,81360.48796
NC_029000.1,virus,0.003400703,68014.05975
NC_029001.1,virus,0.003303008,66060.16748
NC_029002.1,virus,0.002880182,57603.639
NC_029003.2,virus,0.000189186,3783.727902
NC_029004.1,virus,0.002127572,42551.43182
NC_029005.1,virus,0.000452807,9056.135635
NC_029006.1,virus,0.002988732,59774.63041
NC_029007.1,virus,0.000126124,2522.485268
NC_029008.1,virus,0.001645818,32916.36514
NC_029009.1,virus,0.0033578,67156.00124
NC_029010.1,virus,0.000975912,19518.24667
NC_029011.1,virus,0.001420449,28408.97343
NC_029012.1,virus,3.31E-05,661.6354802
NC_029013.1,virus,0.002002481,40049.62266
NC_029014.1,virus,0.000474517,9490.333919
NC_029015.2,virus,0.000179882,3597.642924
NC_029016.1,virus,0.000951101,19022.02006
NC_029017.1,virus,0.000970743,19414.86612
NC_029018.2,virus,0.000191254,3825.08012
NC_029019.1,virus,0.000270857,5417.140494
NC_029020.1,virus,0.000785692,15713.84265
NC_029021.1,virus,0.00059754,11950.79086
NC_029022.1,virus,0.003688618,73772.35604
NC_029023.1,virus,0.00049726,9945.208312
NC_029024.1,virus,0.001649953,32999.06958
NC_029025.1,virus,0.001340846,26816.91306
NC_029026.1,virus,0.004383335,87666.70113
NC_029027.1,virus,0.001974568,39491.36772
NC_029028.1,virus,0.000944898,18897.9634
NC_029029.1,virus,0.000951101,19022.02006
NC_029030.1,virus,0.001177504,23550.08787
NC_029031.1,virus,0.000361832,7236.638065
NC_029032.1,virus,0.001579655,31593.09418
NC_029033.1,virus,0.000530342,10606.84379
NC_029042.1,virus,0.001330508,26610.15197
NC_029043.2,virus,0.000161274,3225.472966
NC_029044.1,virus,0.000711258,14225.16282
NC_029045.1,virus,0.000280161,5603.225473
NC_029046.1,virus,0.000514835,10296.70216
NC_029047.1,virus,0.000559289,11185.77484
NC_029050.1,virus,0.000483821,9676.418898
NC_029057.1,virus,0.007257314,145146.2835
NC_029058.1,virus,0.004111961,82239.22258
NC_029059.1,virus,0.000112685,2253.695854
NC_029060.1,virus,0.000436266,8725.317895
NC_029061.1,virus,0.000438334,8766.670113
NC_029065.1,virus,0.001351184,27023.67414
NC_029066.1,virus,0.000507598,10151.9694
NC_029067.1,virus,0.003663806,73276.12943
NC_029068.1,virus,0.000327716,6554.326476
NC_029069.1,virus,0.002794376,55887.52197
NC_029070.1,virus,0.000266722,5334.436059
NC_029071.1,virus,0.000955236,19104.72449
NC_029072.1,virus,0.001353768,27075.36442
NC_029073.1,virus,0.009598883,191977.6698
NC_029074.1,virus,0.000296702,5934.043213
NC_029075.1,virus,0.000814639,16292.7737
NC_029077.1,virus,0.000409387,8187.739068
NC_029078.1,virus,0.000868397,17367.93136
NC_029079.1,virus,0.000209346,4186.912023
NC_029080.1,virus,0.007143596,142871.9115
NC_029081.1,virus,0.000871498,17429.95968
NC_029083.1,virus,0.000601675,12033.4953
NC_029084.1,virus,0.00053241,10648.19601
NC_029091.1,virus,0.002386023,47720.45901
NC_029092.1,virus,0.00024191,4838.209449
NC_029093.1,virus,0.000162307,3246.149075
NC_029094.1,virus,0.004808229,96164.58183
NC_029097.1,virus,0.000521038,10420.75881
NC_029098.1,virus,0.001443192,28863.84782
NC_029099.1,virus,0.000346325,6926.496433
NC_029100.1,virus,0.000530342,10606.84379
NC_029101.1,virus,0.000247079,4941.589993
NC_029102.1,virus,0.000394914,7898.273545
NC_029103.1,virus,0.001258141,25162.82436
NC_029104.1,virus,0.001492815,29856.30104
NC_029106.1,virus,0.000865295,17305.90303
NC_029107.1,virus,0.000352528,7050.553086
NC_029118.1,virus,0.000385609,7712.188566
NC_029119.1,virus,0.005741755,114835.108
NC_029120.1,virus,0.000511734,10234.67383
NC_029121.1,virus,0.004834074,96681.48454
NC_029314.1,virus,0.00183914,36782.79748
NC_029316.1,virus,0.002020056,40401.11651
NC_029548.1,virus,0.000855991,17119.81805
NC_030458.1,virus,7.03E-05,1405.975395
NC_030472.1,virus,3.10E-05,620.2832627
NC_030476.1,virus,0.000143699,2873.979117
NC_030652.1,virus,0.000915952,18319.03236
NC_030694.1,virus,0.000148868,2977.359661
NC_030695.1,virus,0.000150936,3018.711878
NC_030696.1,virus,0.000222268,4445.363383
NC_030698.1,virus,0.000126124,2522.485268
NC_030884.1,virus,0.002179262,43585.23726
NC_030901.1,virus,0.000335987,6719.735346
NC_030902.1,virus,0.000343223,6864.468107
NC_030903.1,virus,0.003980668,79613.35677
NC_030904.1,virus,0.001949757,38995.14111
NC_030905.1,virus,0.000664737,13294.73793
NC_030906.1,virus,0.000761915,15238.29215
NC_030907.1,virus,0.000130259,2605.189703
NC_030908.1,virus,0.000119921,2398.428616
NC_030909.1,virus,0.000327716,6554.326476
NC_030910.1,virus,0.000324615,6492.298149
NC_030911.1,virus,0.000326683,6533.650367
NC_030912.1,virus,7.86E-05,1571.384265
NC_030913.1,virus,0.000301871,6037.423757
NC_030914.1,virus,0.00041559,8311.79572
NC_030915.1,virus,0.000855991,17119.81805
NC_030916.1,virus,0.000177815,3556.290706
NC_030917.1,virus,0.000701954,14039.07785
NC_030918.1,virus,0.000325649,6512.974258
NC_030919.1,virus,0.000194872,3897.446501
NC_030920.1,virus,0.004380234,87604.6728
NC_030921.1,virus,0.000103381,2067.610876
NC_030923.1,virus,0.000194355,3887.108446
NC_030924.1,virus,0.000201592,4031.841207
NC_030925.1,virus,0.003719632,74392.63931
NC_030927.1,virus,0.000323581,6471.622041
NC_030929.1,virus,0.000511734,10234.67383
NC_030930.1,virus,0.000684379,13687.584
NC_030931.1,virus,0.000165409,3308.177401
NC_030932.1,virus,0.000182984,3659.67125
NC_030933.1,virus,0.006125297,122505.9444
NC_030934.1,virus,0.00139357,27871.3946
NC_030935.1,virus,0.000109583,2191.667528
NC_030936.1,virus,0.000229505,4590.096144
NC_030939.1,virus,0.000178848,3576.966815
NC_030940.1,virus,0.000448672,8973.4312
NC_030941.1,virus,0.000268789,5375.788277
NC_030942.1,virus,0.000334953,6699.059237
NC_030943.1,virus,0.000194355,3887.108446
NC_030944.1,virus,0.000761915,15238.29215
NC_030945.1,virus,0.001542438,30848.75426
NC_030946.1,virus,0.000566525,11330.5076
NC_030947.1,virus,0.00078776,15755.19487
NC_030948.1,virus,0.003956373,79127.46821
NC_030949.1,virus,0.001739895,34797.89104
NC_030950.1,virus,0.001761604,35232.08932
NC_030951.1,virus,0.000726765,14535.30446
NC_030953.1,virus,0.003247183,64943.6576
NC_031001.1,virus,0.000462111,9242.220614
NC_031002.1,virus,0.00018195,3638.995141
NC_031003.1,virus,3.72E-05,744.3399152
NC_031004.1,virus,0.00018195,3638.995141
NC_031005.1,virus,0.000139564,2791.274682
NC_031006.1,virus,0.00229298,45859.60922
NC_031007.1,virus,0.003403288,68065.75003
NC_031008.1,virus,0.001497984,29959.68159
NC_031009.1,virus,0.001069989,21399.77256
NC_031010.1,virus,0.00353303,70660.60167
NC_031011.1,virus,0.002670836,53416.72697
NC_031012.1,virus,0.0015321,30641.99318
NC_031013.1,virus,0.000962473,19249.45725
NC_031014.1,virus,0.000353561,7071.229195
NC_031015.1,virus,0.000804301,16086.01261
NC_031016.1,virus,0.001533133,30662.66929
NC_031017.1,virus,0.001075158,21503.15311
NC_031018.1,virus,0.000185051,3701.023467
NC_031019.1,virus,0.000210379,4207.588132
NC_031020.1,virus,0.007333816,146676.3155
NC_031021.1,virus,0.00040215,8043.006306
NC_031022.1,virus,0.001394604,27892.07071
NC_031023.1,virus,0.000595472,11909.43864
NC_031024.1,virus,0.00248837,49767.39378
NC_031025.1,virus,0.000102347,2046.934767
NC_031026.1,virus,0.000460043,9200.868397
NC_031027.1,virus,0.000875633,17512.66412
NC_031028.1,virus,0.000139564,2791.274682
NC_031029.1,virus,0.000238809,4776.181123
NC_031030.1,virus,0.00192598,38519.59061
NC_031031.1,virus,0.000175747,3514.938489
NC_031032.1,virus,0.023188256,463765.1194
NC_031034.1,virus,0.003324718,66494.36576
NC_031035.1,virus,0.00025535,5106.998863
NC_031036.1,virus,0.000609945,12198.90417
NC_031037.1,virus,0.001149592,22991.83294
NC_031039.1,virus,0.020788794,415775.871
NC_031040.1,virus,0.001440608,28812.15755
NC_031041.1,virus,9.72E-05,1943.554223
NC_031042.1,virus,0.002478032,49560.63269
NC_031043.1,virus,0.0028471,56942.00351
NC_031044.1,virus,0.000159206,3184.120748
NC_031045.1,virus,0.001861884,37237.67187
NC_031046.1,virus,0.000509666,10193.32162
NC_031047.1,virus,0.002436163,48723.25028
NC_031048.1,virus,0.000248113,4962.266102
NC_031049.1,virus,0.001430787,28615.73452
NC_031050.1,virus,0.000549984,10999.68986
NC_031051.1,virus,0.001493849,29876.97715
NC_031052.1,virus,0.000205727,4114.545643
NC_031053.1,virus,0.00044557,8911.402874
NC_031054.1,virus,0.00061408,12281.6086
NC_031055.1,virus,0.002264034,45280.67818
NC_031056.1,virus,0.003168614,63372.27334
NC_031057.1,virus,0.00208105,41621.00693
NC_031058.1,virus,0.000594438,11888.76253
NC_031059.1,virus,0.000110617,2212.343637
NC_031060.1,virus,0.000240877,4817.53334
NC_031061.1,virus,0.000105448,2108.963093
NC_031062.2,virus,0.002635687,52713.73927
NC_031063.1,virus,0.000300837,6016.747648
NC_031064.1,virus,0.001294841,25896.82622
NC_031065.1,virus,0.003523209,70464.17864
NC_031066.1,virus,0.000156105,3122.092422
NC_031067.1,virus,8.37E-05,1674.764809
NC_031068.1,virus,0.000587201,11744.02977
NC_031069.1,virus,0.000834281,16685.61977
NC_031070.1,virus,0.001227127,24542.54109
NC_031071.1,virus,0.000335987,6719.735346
NC_031072.1,virus,7.86E-05,1571.384265
NC_031073.1,virus,0.000353561,7071.229195
