NCBI Accession,type,proportion,number of bp
NC_028847.1,virus,0.002261162,45223.24454
NC_028848.1,virus,0.0002596,5192.000643
NC_028849.1,virus,0.000145307,2906.141953
NC_028850.1,virus,0.000209633,4192.655387
NC_028851.1,virus,0.000159091,3181.823403
NC_028852.1,virus,8.44E-05,1688.548882
NC_028853.1,virus,0.000359535,7190.691156
NC_028854.1,virus,0.000623729,12474.58562
NC_028855.1,virus,0.000338284,6765.682254
NC_028856.1,virus,0.002151464,43029.27967
NC_028857.1,virus,0.001987491,39749.81908
NC_028859.1,virus,0.000405481,8109.629323
NC_028860.1,virus,0.000140138,2802.761409
NC_028861.1,virus,0.000218822,4376.44302
NC_028862.1,virus,0.001076306,21526.12656
NC_028863.1,virus,7.12E-05,1424.354159
NC_028864.1,virus,0.000161963,3239.257038
NC_028865.1,virus,0.000322203,6444.053896
NC_028869.1,virus,0.000414671,8293.416957
NC_028870.1,virus,0.00014703,2940.602134
NC_028871.1,virus,0.00094306,18861.20588
NC_028872.1,virus,0.000207335,4146.708478
NC_028874.1,virus,4.88E-05,976.3718024
NC_028876.2,virus,0.000199295,3985.894299
NC_028877.1,virus,0.000134969,2699.380865
NC_028878.1,virus,0.000224566,4491.310291
NC_028879.1,virus,0.000255293,5105.85019
NC_028880.1,virus,0.000133246,2664.920684
NC_028881.1,virus,0.001529458,30589.15423
NC_028882.1,virus,0.000463489,9269.788759
NC_028885.1,virus,0.000113144,2262.885236
NC_028886.1,virus,0.001299149,25982.97667
NC_028887.1,virus,0.001712097,34241.93345
NC_028888.1,virus,0.000137841,2756.814501
NC_028889.1,virus,0.00011659,2331.805599
NC_028890.1,virus,0.001952744,39054.8721
NC_028892.1,virus,0.000156219,3124.389768
NC_028894.1,virus,0.001243438,24868.76414
NC_028895.1,virus,0.000892519,17850.37389
NC_028896.1,virus,8.44E-05,1688.548882
NC_028897.1,virus,0.00014703,2940.602134
NC_028898.1,virus,0.000377339,7546.779696
NC_028899.1,virus,0.002195114,43902.27093
NC_028900.1,virus,0.000698393,13967.86014
NC_028901.1,virus,0.000138415,2768.301228
NC_028902.1,virus,2.58E-05,516.9027189
NC_028903.1,virus,0.000922959,18459.17043
NC_028904.1,virus,0.000151625,3032.495951
NC_028906.1,virus,0.000138415,2768.301228
NC_028907.1,virus,2.24E-05,447.9823564
NC_028908.2,virus,0.000598458,11969.16962
NC_028910.1,virus,5.69E-05,1137.185982
NC_028911.1,virus,0.000210781,4215.628841
NC_028912.1,virus,0.000152199,3043.982678
NC_028913.1,virus,0.000594438,11888.76253
NC_028914.1,virus,0.000172875,3457.504853
NC_028915.1,virus,0.000426732,8534.638226
NC_028916.1,virus,0.000236052,4721.044833
NC_028917.1,virus,0.000931574,18631.47133
NC_028919.1,virus,0.000282573,5651.469727
NC_028920.1,virus,6.26E-05,1252.053252
NC_028922.1,virus,0.000114293,2285.85869
NC_028923.1,virus,0.000157942,3158.849949
NC_028924.1,virus,0.001665575,33311.50855
NC_028925.1,virus,0.00152314,30462.80023
NC_028926.1,virus,0.000525518,10510.35528
NC_028927.1,virus,0.000904005,18080.10843
NC_028928.1,virus,2.99E-05,597.3098085
NC_028929.1,virus,0.000396866,7937.328417
NC_028930.1,virus,0.000300378,6007.558266
NC_028931.1,virus,0.000114293,2285.85869
NC_028932.1,virus,0.000176321,3526.425216
NC_028933.1,virus,0.000183213,3664.265941
NC_028934.1,virus,0.000300952,6019.044994
NC_028935.2,virus,0.000522646,10452.92165
NC_028936.1,virus,0.00030325,6064.991902
NC_028937.1,virus,5.00E-05,999.3452566
NC_028938.1,virus,0.000348622,6972.443342
NC_028939.1,virus,0.000184362,3687.239395
NC_028940.1,virus,0.003870453,77409.05384
NC_028941.1,virus,3.16E-05,631.7699898
NC_028942.1,virus,4.31E-05,861.5045315
NC_028943.1,virus,0.000186085,3721.699576
NC_028944.1,virus,0.000562275,11245.50582
NC_028945.1,virus,0.00163571,32714.19874
NC_028946.1,virus,5.46E-05,1091.239073
NC_028947.1,virus,0.000236052,4721.044833
NC_028950.1,virus,0.001625946,32518.92438
NC_028952.1,virus,0.00015105,3021.009224
NC_028953.1,virus,0.000163112,3262.230493
NC_028954.1,virus,9.07E-05,1814.90288
NC_028955.1,virus,0.005060478,101209.5524
NC_028956.1,virus,0.000635216,12704.32016
NC_028957.1,virus,0.001806288,36125.75669
NC_028960.2,virus,0.000122334,2446.672869
NC_028961.1,virus,6.20E-05,1240.566525
NC_028962.1,virus,0.005429202,108584.0312
NC_028965.1,virus,9.36E-05,1872.336515
NC_028966.1,virus,0.000375042,7500.832788
NC_028967.1,virus,4.88E-05,976.3718024
NC_028968.1,virus,0.000362406,7248.124792
NC_028969.1,virus,0.000308419,6168.372446
NC_028971.1,virus,0.000172301,3446.018126
NC_028972.1,virus,0.000267641,5352.814822
NC_028974.1,virus,0.000109124,2182.478147
NC_028976.1,virus,8.50E-05,1700.035609
NC_028977.1,virus,0.000268215,5364.30155
NC_028978.1,virus,0.000100509,2010.17724
NC_028979.1,virus,0.00014301,2860.195045
NC_028980.1,virus,0.000264195,5283.89446
NC_028982.1,virus,0.00144503,28900.60535
NC_028983.1,virus,0.00145824,29164.80007
NC_028984.1,virus,0.000317034,6340.673352
NC_028986.1,virus,0.000396866,7937.328417
NC_028987.2,virus,0.000628898,12577.96616
NC_028988.1,virus,0.000144158,2883.168499
NC_028990.1,virus,0.000443962,8879.240038
NC_028991.1,virus,0.002192242,43844.83729
NC_028992.1,virus,0.000343453,6869.062798
NC_028993.1,virus,8.67E-05,1734.49579
NC_028994.1,virus,4.25E-05,850.0178044
NC_028995.1,virus,0.000482443,9648.850753
NC_028997.1,virus,0.000334264,6685.275165
NC_028998.1,virus,0.000572613,11452.26691
NC_028999.1,virus,0.002260014,45200.27109
NC_029000.1,virus,0.001889279,37785.58875
NC_029001.1,virus,0.001835005,36700.09304
NC_029002.1,virus,0.001600101,32002.02166
NC_029003.2,virus,0.000105104,2102.071057
NC_029004.1,virus,0.001181984,23639.68434
NC_029005.1,virus,0.000251559,5031.186464
NC_029006.1,virus,0.001660406,33208.12801
NC_029007.1,virus,7.01E-05,1401.380705
NC_029008.1,virus,0.000914343,18286.86952
NC_029009.1,virus,0.001865444,37308.88958
NC_029010.1,virus,0.000542174,10843.47037
NC_029011.1,virus,0.000789138,15782.76302
NC_029012.1,virus,1.84E-05,367.5752668
NC_029013.1,virus,0.00111249,22249.79037
NC_029014.1,virus,0.00026362,5272.407733
NC_029015.2,virus,9.99E-05,1998.690513
NC_029016.1,virus,0.000528389,10567.78892
NC_029017.1,virus,0.000539302,10786.03673
NC_029018.2,virus,0.000106252,2125.044511
NC_029019.1,virus,0.000150476,3009.522497
NC_029020.1,virus,0.000436496,8729.912586
NC_029021.1,virus,0.000331966,6639.328256
NC_029022.1,virus,0.002049232,40984.64225
NC_029023.1,virus,0.000276256,5525.115729
NC_029024.1,virus,0.000916641,18332.81643
NC_029025.1,virus,0.000744914,14898.28503
NC_029026.1,virus,0.002435186,48703.72285
NC_029027.1,virus,0.001096982,21939.64874
NC_029028.1,virus,0.000524943,10498.86856
NC_029029.1,virus,0.000528389,10567.78892
NC_029030.1,virus,0.000654169,13083.38215
NC_029031.1,virus,0.000201018,4020.35448
NC_029032.1,virus,0.000877586,17551.71899
NC_029033.1,virus,0.000294635,5892.690996
NC_029042.1,virus,0.000739171,14783.41776
NC_029043.2,virus,8.96E-05,1791.929426
NC_029044.1,virus,0.000395143,7902.868236
NC_029045.1,virus,0.000155645,3112.903041
NC_029046.1,virus,0.00028602,5720.390089
NC_029047.1,virus,0.000310716,6214.319354
NC_029050.1,virus,0.000268789,5375.788277
NC_029057.1,virus,0.004031841,80636.82415
NC_029058.1,virus,0.002284423,45688.45699
NC_029059.1,virus,6.26E-05,1252.053252
NC_029060.1,virus,0.00024237,4847.398831
NC_029061.1,virus,0.000243519,4870.372285
NC_029065.1,virus,0.000750658,15013.1523
NC_029066.1,virus,0.000281999,5639.983
NC_029067.1,virus,0.002035448,40708.9608
NC_029068.1,virus,0.000182065,3641.292487
NC_029069.1,virus,0.001552431,31048.62332
NC_029070.1,virus,0.000148179,2963.575588
NC_029071.1,virus,0.000530687,10613.73583
NC_029072.1,virus,0.000752093,15041.86912
NC_029073.1,virus,0.005332713,106654.261
NC_029074.1,virus,0.000164835,3296.690674
NC_029075.1,virus,0.000452577,9051.540944
NC_029077.1,virus,0.000227437,4548.743926
NC_029078.1,virus,0.000482443,9648.850753
NC_029079.1,virus,0.000116303,2326.062235
NC_029080.1,virus,0.003968664,79373.28417
NC_029081.1,virus,0.000484166,9683.310934
NC_029083.1,virus,0.000334264,6685.275165
NC_029084.1,virus,0.000295783,5915.66445
NC_029091.1,virus,0.001325568,26511.36612
NC_029092.1,virus,0.000134395,2687.894138
NC_029093.1,virus,9.02E-05,1803.416153
NC_029094.1,virus,0.002671238,53424.76768
NC_029097.1,virus,0.000289466,5789.310452
NC_029098.1,virus,0.000801774,16035.47101
NC_029099.1,virus,0.000192403,3848.053574
NC_029100.1,virus,0.000294635,5892.690996
NC_029101.1,virus,0.000137266,2745.327774
NC_029102.1,virus,0.000219396,4387.929747
NC_029103.1,virus,0.000698967,13979.34686
NC_029104.1,virus,0.000829342,16586.83391
NC_029106.1,virus,0.00048072,9614.390572
NC_029107.1,virus,0.000195849,3916.973937
NC_029118.1,virus,0.000214227,4284.549203
NC_029119.1,virus,0.003189864,63797.28224
NC_029120.1,virus,0.000284296,5685.929908
NC_029121.1,virus,0.002685597,53711.93586
NC_029314.1,virus,0.001021744,20434.88749
NC_029316.1,virus,0.001122253,22445.06473
NC_029548.1,virus,0.000475551,9511.010028
NC_030458.1,virus,3.91E-05,781.0974419
NC_030472.1,virus,1.72E-05,344.6018126
NC_030476.1,virus,7.98E-05,1596.655065
NC_030652.1,virus,0.000508862,10177.2402
NC_030694.1,virus,8.27E-05,1654.088701
NC_030695.1,virus,8.39E-05,1677.062155
NC_030696.1,virus,0.000123482,2469.646324
NC_030698.1,virus,7.01E-05,1401.380705
NC_030884.1,virus,0.001210701,24214.0207
NC_030901.1,virus,0.000186659,3733.186303
NC_030902.1,virus,0.00019068,3813.593393
NC_030903.1,virus,0.002211482,44229.64265
NC_030904.1,virus,0.001083198,21663.96729
NC_030905.1,virus,0.000369298,7385.965517
NC_030906.1,virus,0.000423286,8465.717863
NC_030907.1,virus,7.24E-05,1447.327613
NC_030908.1,virus,6.66E-05,1332.460342
NC_030909.1,virus,0.000182065,3641.292487
NC_030910.1,virus,0.000180342,3606.832305
NC_030911.1,virus,0.00018149,3629.805759
NC_030912.1,virus,4.36E-05,872.9912586
NC_030913.1,virus,0.000167706,3354.124309
NC_030914.1,virus,0.000230883,4617.664289
NC_030915.1,virus,0.000475551,9511.010028
NC_030916.1,virus,9.88E-05,1975.717059
NC_030917.1,virus,0.000389974,7799.487692
NC_030918.1,virus,0.000180916,3618.319032
NC_030919.1,virus,0.000108262,2165.248056
NC_030920.1,virus,0.002433463,48669.26267
NC_030921.1,virus,5.74E-05,1148.672709
NC_030923.1,virus,0.000107975,2159.504692
NC_030924.1,virus,0.000111996,2239.911782
NC_030925.1,virus,0.002066462,41329.24406
NC_030927.1,virus,0.000179767,3595.345578
NC_030929.1,virus,0.000284296,5685.929908
NC_030930.1,virus,0.000380211,7604.213331
NC_030931.1,virus,9.19E-05,1837.876334
NC_030932.1,virus,0.000101658,2033.150694
NC_030933.1,virus,0.003402943,68058.85799
NC_030934.1,virus,0.000774205,15484.10811
NC_030935.1,virus,6.09E-05,1217.593071
NC_030936.1,virus,0.000127503,2550.053413
NC_030939.1,virus,9.94E-05,1987.203786
NC_030940.1,virus,0.000249262,4985.239556
NC_030941.1,virus,0.000149327,2986.549043
NC_030942.1,virus,0.000186085,3721.699576
NC_030943.1,virus,0.000107975,2159.504692
NC_030944.1,virus,0.000423286,8465.717863
NC_030945.1,virus,0.00085691,17138.19681
NC_030946.1,virus,0.000314736,6294.726444
NC_030947.1,virus,0.000437644,8752.88604
NC_030948.1,virus,0.002197985,43959.70456
NC_030949.1,virus,0.000966608,19332.16169
NC_030950.1,virus,0.000978669,19573.38296
NC_030951.1,virus,0.000403758,8075.169142
NC_030953.1,virus,0.00180399,36079.80978
NC_031001.1,virus,0.000256728,5134.567008
NC_031002.1,virus,0.000101083,2021.663967
NC_031003.1,virus,2.07E-05,413.5221751
NC_031004.1,virus,0.000101083,2021.663967
NC_031005.1,virus,7.75E-05,1550.708157
NC_031006.1,virus,0.001273878,25477.56068
NC_031007.1,virus,0.001890715,37814.30557
NC_031008.1,virus,0.000832213,16644.26755
NC_031009.1,virus,0.000594438,11888.76253
NC_031010.1,virus,0.001962794,39255.88982
NC_031011.1,virus,0.001483798,29675.95943
NC_031012.1,virus,0.000851166,17023.32954
NC_031013.1,virus,0.000534707,10694.14292
NC_031014.1,virus,0.000196423,3928.460664
NC_031015.1,virus,0.000446834,8936.673674
NC_031016.1,virus,0.000851741,17034.81627
NC_031017.1,virus,0.00059731,11946.19617
NC_031018.1,virus,0.000102806,2056.124149
NC_031019.1,virus,0.000116877,2337.548962
NC_031020.1,virus,0.004074342,81486.84195
NC_031021.1,virus,0.000223417,4468.336837
NC_031022.1,virus,0.00077478,15495.59484
NC_031023.1,virus,0.000330818,6616.354802
NC_031024.1,virus,0.001382428,27648.5521
NC_031025.1,virus,5.69E-05,1137.185982
NC_031026.1,virus,0.00025558,5111.593554
NC_031027.1,virus,0.000486463,9729.257843
NC_031028.1,virus,7.75E-05,1550.708157
NC_031029.1,virus,0.000132672,2653.433957
NC_031030.1,virus,0.001069989,21399.77256
NC_031031.1,virus,9.76E-05,1952.743605
NC_031032.1,virus,0.012882364,257647.2886
NC_031034.1,virus,0.001847066,36941.31431
NC_031035.1,virus,0.000141861,2837.22159
NC_031036.1,virus,0.000338858,6777.168981
NC_031037.1,virus,0.000638662,12773.24052
NC_031039.1,virus,0.01154933,230986.595
NC_031040.1,virus,0.000800338,16006.7542
NC_031041.1,virus,5.40E-05,1079.752346
NC_031042.1,virus,0.001376684,27533.68483
NC_031043.1,virus,0.001581722,31634.4464
NC_031044.1,virus,8.84E-05,1768.955971
NC_031045.1,virus,0.00103438,20687.59548
NC_031046.1,virus,0.000283148,5662.956454
NC_031047.1,virus,0.001353424,27068.47238
NC_031048.1,virus,0.000137841,2756.814501
NC_031049.1,virus,0.000794882,15897.63029
NC_031050.1,virus,0.000305547,6110.93881
NC_031051.1,virus,0.000829916,16598.32064
NC_031052.1,virus,0.000114293,2285.85869
NC_031053.1,virus,0.000247539,4950.779374
NC_031054.1,virus,0.000341156,6823.11589
NC_031055.1,virus,0.001257797,25155.93232
NC_031056.1,virus,0.001760341,35206.81852
NC_031057.1,virus,0.001156139,23122.78163
NC_031058.1,virus,0.000330243,6604.868075
NC_031059.1,virus,6.15E-05,1229.079798
NC_031060.1,virus,0.00013382,2676.407411
NC_031061.1,virus,5.86E-05,1171.646163
NC_031062.2,virus,0.001464271,29285.41071
NC_031063.1,virus,0.000167132,3342.637582
NC_031064.1,virus,0.000719356,14387.12568
NC_031065.1,virus,0.001957338,39146.76591
NC_031066.1,virus,8.67E-05,1734.49579
NC_031067.1,virus,4.65E-05,930.424894
NC_031068.1,virus,0.000326223,6524.460985
NC_031069.1,virus,0.000463489,9269.788759
NC_031070.1,virus,0.000681737,13634.74505
