NCBI accession number,name of host,genus,family,order,class,phylum,domain
JQGK01,Sulfurospirillum sp. SCADC,Sulfurospirillum,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,Bacteria
JPUG01,Microvirga sp. BSC39,Microvirga,Methylobacteriaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
JRKB01,Plesiomonas sp. ZOR0011,Plesiomonas,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
JRQI01,Xanthomonas sp. Nyagatare,Xanthomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JAJB01,Brevibacterium sp. VCM10,Brevibacterium,Brevibacteriaceae,Micrococcales,Actinobacteria,Actinobacteria,Bacteria
JNUP01,Spirochaeta sp. JC230,Spirochaeta,Spirochaetaceae,Spirochaetales,Spirochaetia,Spirochaetes,Bacteria
JAFO01,Xanthobacter sp. 126,Xanthobacter,Xanthobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
JNLD01,Thiomicrospira sp. Milos-T2,Thiomicrospira,Piscirickettsiaceae,Thiotrichales,Gammaproteobacteria,Proteobacteria,Bacteria
AZXX01,Lachnoanaerobaculum sp. MSX33,Lachnoanaerobaculum,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria
JHZA01,Enterovibrio calviensis DSM 14347,Enterovibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
JFDP01,Ureaplasma diversum NCTC 246,Ureaplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes,Bacteria
JAFA01,Burkholderia nodosa DSM 21604,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
JPVQ01,Lysinibacillus massiliensis 4400831 = CIP 108448 = CCUG 49529,Lysinibacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
AZUM01,Saccharomonospora sp. CNQ490,Saccharomonospora,Pseudonocardiaceae,Pseudonocardiales,Actinobacteria,Actinobacteria,Bacteria
JQKS01,Methylobacter sp. BBA5.1,Methylobacter,Methylococcaceae,Methylococcales,Gammaproteobacteria,Proteobacteria,Bacteria
ATSX01,Commensalibacter sp. MX01,Commensalibacter,Acetobacteraceae,Rhodospirillales,Alphaproteobacteria,Proteobacteria,Bacteria
AWFA01,Hyphomonas sp. T16B2,Hyphomonas,Hyphomonadaceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
AUNB01,Thioclava sp. DT23-4,Thioclava,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
JGVP01,Serratia grimesii,Serratia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
BAVL01,Chryseobacterium indologenes NBRC 14944,Chryseobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
JFZA02,Sphingobium herbicidovorans NBRC 16415,Sphingobium,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria,Bacteria
JFYY01,Sphingomonas paucimobilis,Sphingomonas,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria,Bacteria
JMZV01,Lelliottia amnigena CHS 78,Lelliottia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
JUGY01,Paenibacillus chondroitinus,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JFHX01,Paenibacillus ehimensis A2,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JPVP01,Lysinibacillus odysseyi 34hs-1 = NBRC 100172,Lysinibacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JMKP01,Psychrobacter phenylpyruvicus DSM 7000 = NBRC 102152,Psychrobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
BALO01,Shewanella algae JCM 21037 = NBRC 103173,Shewanella,Shewanellaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JNIK01,Blastococcus sp. URHD0036,Blastococcus,Geodermatophilaceae,Geodermatophilales,Actinobacteria,Actinobacteria,Bacteria
JFYO01,Microbacterium oleivorans,Microbacterium,Microbacteriaceae,Micrococcales,Actinobacteria,Actinobacteria,Bacteria
BAMN01,Lactobacillus nodensis DSM 19682 = JCM 14932 = NBRC 107160,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
JOAJ01,Nocardia rhamnosiphila,Nocardia,Nocardiaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
ASQA01,Viridibacillus arenosi FSL R5-213,Viridibacillus,Planococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
APJS01,Clostridium tetanomorphum DSM 665,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
JMQM01,Nitratireductor basaltis,Nitratireductor,Phyllobacteriaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
JMJF01,Staphylococcus chromogenes MU 970,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JHYR01,Thauera linaloolentis 47Lol = DSM 12138,Thauera,Rhodocyclaceae,Rhodocyclales,Betaproteobacteria,Proteobacteria,Bacteria
JATL01,Brevibacillus agri 5-2,Brevibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JAFP01,Hippea sp. KM1,Hippea,Desulfurellaceae,Desulfurellales,Deltaproteobacteria,Proteobacteria,Bacteria
AONB01,Nitrincola sp. AK23,Nitrincola,Oceanospirillaceae,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria
JAGJ01,Cellulosimicrobium cellulans J36,Cellulosimicrobium,Promicromonosporaceae,Micrococcales,Actinobacteria,Actinobacteria,Bacteria
AUVB01,Haliea rubra DSM 19751,Pseudohaliea,,,Gammaproteobacteria,Proteobacteria,Bacteria
JHVX01,Nitrosospira briensis C-128,Nitrosospira,Nitrosomonadaceae,Nitrosomonadales,Betaproteobacteria,Proteobacteria,Bacteria
JNIR01,Exiguobacterium acetylicum DSM 20416,Exiguobacterium,,Bacillales,Bacilli,Firmicutes,Bacteria
JHZM01,Brochothrix thermosphacta DSM 20171 = FSL F6-1036,Brochothrix,Listeriaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JPRI01,Chryseobacterium vrystaatense,Chryseobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
JMLI01,Curtobacterium sp. UNCCL17,Curtobacterium,Microbacteriaceae,Micrococcales,Actinobacteria,Actinobacteria,Bacteria
JAFX01,Algoriphagus marincola HL-49,Algoriphagus,Cyclobacteriaceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria
JGZB01,Bifidobacterium magnum,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria
JAEX01,Desulfocurvus vexinensis DSM 17965,Desulfocurvus,Desulfovibrionaceae,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria
JFBW01,Sphingomonas jaspsi DSM 18422,Sphingomonas,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria,Bacteria
JHWB01,Lachnobacterium bovis,Lachnobacterium,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria
JGZH01,Bifidobacterium pseudolongum subsp. pseudolongum,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria
ARYH01,Hyphomonas adhaerens MHS-3,Hyphomonas,Hyphomonadaceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
ARYK01,Hyphomonas johnsonii MHS-2,Hyphomonas,Hyphomonadaceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
ARYI01,Hyphomonas hirschiana VP5,Hyphomonas,Hyphomonadaceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
ARYJ01,Hyphomonas jannaschiana VP2,Hyphomonas,Hyphomonadaceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
ARYL01,Hyphomonas oceanitis SCH89,Hyphomonas,Hyphomonadaceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
ARYM01,Hyphomonas polymorpha PS728,Hyphomonas,Hyphomonadaceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
JHYA01,Anaerovibrio lipolyticus LB2005,Anaerovibrio,Veillonellaceae,Selenomonadales,Negativicutes,Firmicutes,Bacteria
JPME01,[Clostridium] celerecrescens,Lachnoclostridium,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria
AZRA01,Sphaerotilus natans subsp. natans DSM 6575,Sphaerotilus,,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
JMTZ01,Lysobacter antibioticus,Lysobacter,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JOAB01,Streptomyces flavovirens,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,Bacteria
JNYF01,Streptomyces natalensis,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,Bacteria
JAEM01,Paracoccus pantotrophus J46,Paracoccus,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
JOCE01,Streptomyces violaceoruber,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,Bacteria
JNYD01,Pseudonocardia autotrophica,Pseudonocardia,Pseudonocardiaceae,Pseudonocardiales,Actinobacteria,Actinobacteria,Bacteria
JRMX01,Arcanobacterium sp. S3PF19,Arcanobacterium,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria
JRNB01,Peptostreptococcus sp. MV1,Peptostreptococcus,Peptostreptococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
JRNE01,Corynebacterium freneyi DNF00450,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
AONH01,Roseovarius mucosus DSM 17069,Roseovarius,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
JGZD01,Bifidobacterium minimum,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria
JNXL01,Streptomyces lavendulae,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,Bacteria
JNYY01,Amycolatopsis vancoresmycina,Amycolatopsis,Pseudonocardiaceae,Pseudonocardiales,Actinobacteria,Actinobacteria,Bacteria
JRKJ01,Lysobacter dokdonensis DS-58,Lysobacter,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
APNK01,Salinisphaera hydrothermalis C41B8,Salinisphaera,Salinisphaeraceae,Salinisphaerales,Gammaproteobacteria,Proteobacteria,Bacteria
JQLE01,Streptomyces mirabilis,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,Bacteria
JAEW01,Butyricimonas virosa DSM 23226,Butyricimonas,Porphyromonadaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria
JALU01,Mogibacterium timidum ATCC 33093,Mogibacterium,Clostridiales Family XIII. Incertae Sedis,Clostridiales,Clostridia,Firmicutes,Bacteria
AZUJ01,Bacillus flexus 27Col1.1E,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JGYU01,Bifidobacterium choerinum,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria
JAFY01,Aminiphilus circumscriptus DSM 16581,Aminiphilus,Synergistaceae,Synergistales,Synergistia,Synergistetes,Bacteria
JAFZ01,Aminobacterium mobile DSM 12262,Aminobacterium,Synergistaceae,Synergistales,Synergistia,Synergistetes,Bacteria
JAGB01,Caldicoprobacter oshimai DSM 21659,Caldicoprobacter,Caldicoprobacteraceae,Clostridiales,Clostridia,Firmicutes,Bacteria
JHVU01,Desulfitibacter alkalitolerans DSM 16504,Desulfitibacter,Peptococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
AZUI01,[Clostridium] indolis DSM 755,Lachnoclostridium,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria
JAGE01,[Clostridium] josui JCM 17888,Ruminiclostridium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
JAET01,Dechloromonas agitata is5,Dechloromonas,Rhodocyclaceae,Rhodocyclales,Betaproteobacteria,Proteobacteria,Bacteria
JNIE01,Thermocrinis sp. GBS,Thermocrinis,Aquificaceae,Aquificales,Aquificae,Aquificae,Bacteria
APVL01,Bacillus firmus DS1,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JOFV01,Oerskovia turbata,Oerskovia,Cellulomonadaceae,Micrococcales,Actinobacteria,Actinobacteria,Bacteria
JGZR01,Bifidobacterium subtile,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria
JFBL01,Sulfurospirillum arcachonense DSM 9755,Sulfurospirillum,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,Bacteria
JACC01,Aquimarina sp. SW150,Aquimarina,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
ARZX01,Cellulophaga geojensis KL-A,Cellulophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
JHEM01,Bordetella hinzii OH87 BAL007II,Bordetella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
ASSF01,Paenibacillus sophorae S27,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
ASSD01,Paenibacillus zanthoxyli JH29,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
ASSC01,Paenibacillus forsythiae T98,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
AZVC01,Arthrobacter nicotinovorans 231Sha2.1M6,Arthrobacter,Micrococcaceae,Micrococcales,Actinobacteria,Actinobacteria,Bacteria
JADV01,Thermoanaerobacter thermocopriae JCM 7501,Thermoanaerobacter,Thermoanaerobacteraceae,Thermoanaerobacterales,Clostridia,Firmicutes,Bacteria
JAEI01,Mesoplasma chauliocola ATCC 49578,Mesoplasma,Entomoplasmataceae,Entomoplasmatales,Mollicutes,Tenericutes,Bacteria
JAEH01,Shewanella waksmanii ATCC BAA-643,Shewanella,Shewanellaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JAGN01,Atopobacter phocae ATCC BAA-285,Atopobacter,Carnobacteriaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
JAEG01,Rhizobium selenitireducens ATCC BAA-1503,Rhizobium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
JAEE01,Pseudomonas flectens ATCC 12775,Phaseolibacter,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
JAED01,Mesoplasma seiffertii ATCC 49495,Mesoplasma,Entomoplasmataceae,Entomoplasmatales,Mollicutes,Tenericutes,Bacteria
JAEC01,Shewanella colwelliana ATCC 39565,Shewanella,Shewanellaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JAEB01,Eubacterium xylanophilum ATCC 35991,Eubacterium,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
JAGO01,Carnimonas nigrificans ATCC BAA-78,Carnimonas,Halomonadaceae,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria
JADX01,Shewanella fidelis ATCC BAA-318,Shewanella,Shewanellaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JADW01,Rhizobium larrymoorei ATCC 51759,Agrobacterium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
JAFR01,Acholeplasma granularum ATCC 19168,Acholeplasma,Acholeplasmataceae,Acholeplasmatales,Mollicutes,Tenericutes,Bacteria
JIBI01,Nitrosomonas cryotolerans ATCC 49181,Nitrosomonas,Nitrosomonadaceae,Nitrosomonadales,Betaproteobacteria,Proteobacteria,Bacteria
JADY01,Roseomonas gilardii subsp. rosea ATCC BAA-691,Roseomonas,Acetobacteraceae,Rhodospirillales,Alphaproteobacteria,Proteobacteria,Bacteria
JUGR01,Terriglobus sp. TAA 43,Terriglobus,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteria,Bacteria
JNBY01,Kitasatospora cheerisanensis KCTC 2395,Kitasatospora,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,Bacteria
JPVO01,Lysinibacillus sinduriensis BLB-1 = JCM 15800,Lysinibacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JPVN01,Lysinibacillus manganicus DSM 26584,Lysinibacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JIAH01,Corynebacterium pseudodiphtheriticum DSM 44287,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
JADS01,Olleya sp. VCSA23,Olleya,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
JHZY01,Leeuwenhoekiella sp. Hel_I_48,Leeuwenhoekiella,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
JADA01,Vibrio albensis ATCC 14547,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
JHYZ01,Cronobacter pulveris DSM 19144,Cronobacter,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
JHZV01,Exiguobacterium undae DSM 14481,Exiguobacterium,,Bacillales,Bacilli,Firmicutes,Bacteria
JHXQ01,Rhizobium undicola ORS 992 = ATCC 700741,Rhizobium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
